"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"5485","Normal/Others","NA-Installing tube-wells and borewells","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Sandosh Kumar P (2022-28)","Sitting Rajya Sabha","Construction of Drinking Water Supply scheme at Aarat Kadavu ST Colony in Peringome Vayakkara Grama Panchayat","23-Sep-2024","700000","NA"
"5486","Normal/Others","WS/MP101/2025-2026/142097-Construction of footpaths and pedestrian ways","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Sandosh Kumar P (2022-28)","Sitting Rajya Sabha","Construction of Side Protection wall for foot path in the Nort East side of the Ghandi Gramam SC Colony in Ward 5, Kottiyoor Grama Panchayat","23-Sep-2024","2000000","16-Jan-2026"
"5487","Normal/Others","WS/MP166/2024-2025/142136-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28)","Sitting Rajya Sabha","Construction of VAO Office  at Konur","21-Sep-2024","753763","23-Sep-2024"
"5488","Normal/Others","WS/MP166/2024-2025/142137-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28)","Sitting Rajya Sabha","Construction of VAO Office  at Ponkurichi","21-Sep-2024","860398","23-Sep-2024"
"5489","Normal/Others","WS/MP18294/2025-2026/142138-Setting up of kitchen and pantries","Maharashtra","GONDIA(DISTRICT COLLECTOR GONDIA_IDA)","Shri Praful Patel (2024-30)","Sitting Rajya Sabha","Gram Darrekasa, Ta. Salekasa, Dist. Gondia me Disha Kutir Parisar me Kitchen Shade Bandhkam.","21-Sep-2024","972416","05-Aug-2025"
"5490","Normal/Others","WS/MP18294/2024-2025/142159-Construction of community centers and community halls","Maharashtra","BHANDARA(DISTRICT COLLECTOR BHANDARA_IDA)","Shri Praful Patel (2024-30)","Sitting Rajya Sabha","Gram Mokhara, Ta. Pauni, Dist. Bhandara me Hanuman Mandir Paraisar me Sabhamandap Bandhkam.","21-Sep-2024","500000","07-Jan-2025"
"5491","Normal/Others","NA-Improvement of electricity distribution infrastructure","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26)","Sitting Rajya Sabha","VIKASH KHAND MUNGRA BADSAHPUR TAHSHEEL MACHHLISHAHAR GRAM BANBEERPUR ME PRAKASAH CHANDRA BIND KE GHAR KE PASS VIDHUTIKARAN KA KARYA","21-Sep-2024","250000","NA"
"5492","Normal/Others","WS/MP202/2025-2026/142180-Improvement of electricity distribution infrastructure","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26)","Sitting Rajya Sabha","VIKASH KHAND MUNGRA BADSAHPUR TAHSHEEL MACHHLISHAHAR GRAM BALAI KA PURA MAHUCHA RAMPUR ME  BHANU PRATAP SINGH KE GHAR KE PASS 10 KVA SE 25 KVA   KSHAMTA VRIDDHI KA KARYA","21-Sep-2024","130000","08-May-2025"
"5493","Normal/Others","WS/MP202/2024-2025/142181-Improvement of electricity distribution infrastructure","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26)","Sitting Rajya Sabha","VIKASH KHAND SIKRARA TAHSHEEL SADAR JAUNPUR GRAM BADHAUNA SURVAR PATTI ME NISHA NATH YADAV KE GHAR KE PASS 63 KVA TRANSFORMAR KA ADHISHTHAPAN KARYA","21-Sep-2024","224700","09-Oct-2024"
"5494","Normal/Others","WS/MP202/2024-2025/142182-Improvement of electricity distribution infrastructure","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26)","Sitting Rajya Sabha","VIKASH KHAND SUJANGANJ TAHSHEEL MACHHLISHAHAR GRAM ACHAKARI ME ANIL BIND KE GHAR KE PASS 25 KVA TRANSFORMAR TAR KHAMBHA KA ADHISHTHAPAN KA KARYA","21-Sep-2024","146871","09-Oct-2024"
"5495","Normal/Others","WS/MP078/2024-2025/142549-Installing hand pumps","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28)","Sitting Rajya Sabha","Installation of hand pump with motor near the house of Sh Dinanath Kaundal( Retired Tehsildar) at Village Ghartheri Bhalwalan, G.P. Sasan, Dev Block Hamirpur, District Hamirpur (H.P.). Executing agency, XEN, IPH Hamirpur","22-Sep-2024","261200","20-Jan-2025"
"5496","Normal/Others","WS/MP162/2024-2025/142651-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at TTR Mahal Road East Side in Andarkottaram Village, Madurai District.","24-Sep-2024","998700","30-Dec-2024"
"5497","Normal/Others","WS/MP162/2024-2025/142652-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at 1st Street North Side in Chandralekha Nagar, Andarkottaram Village, Madurai District.","24-Sep-2024","999000","30-Dec-2024"
"5498","Normal/Others","WS/MP162/2024-2025/142676-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at 2nd Street North Side in Chandralekha Nagar, Andarkottaram Village, Madurai District.","24-Sep-2024","999500","30-Dec-2024"
"5499","Normal/Others","WS/MP162/2024-2025/142677-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at West 4th Street in Angayarkanni Nagar, K.P.Yenthal, Andarkottaram Village,Madurai District.","24-Sep-2024","1000000","30-Dec-2024"
"5500","Normal/Others","WS/MP162/2024-2025/142678-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at 4th Street in Kalanjyam Nagar, K.P.Yenthal,Andarkottaram Village,Madurai District.","24-Sep-2024","998700","30-Dec-2024"
"5501","Normal/Others","WS/MP162/2024-2025/142679-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at TTR Mahal Road West Side in Andarkottaram Village, Madurai District.","24-Sep-2024","1000000","30-Dec-2024"
"5502","Normal/Others","WS/MP162/2024-2025/142680-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at 1st Street South Side in Chandralekha Nagar, Andarkottaram Village, Madurai District.","24-Sep-2024","998800","30-Dec-2024"
"5503","Normal/Others","WS/MP162/2024-2025/142681-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at 2nd Street South Side in Chandralekha Nagar, Andarkottaram Village, Madurai District.","24-Sep-2024","999300","30-Dec-2024"
"5504","Normal/Others","WS/MP162/2024-2025/142682-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at 5th Street in Kalanjyam Nagar, K.P.Yenthal,Andarkottaram Village,Madurai District.","24-Sep-2024","999400","30-Dec-2024"
"5505","Normal/Others","WS/MP162/2024-2025/142683-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at 6th Street in Kalanjyam Nagar, K.P.Yenthal,Andarkottaram Village,Madurai District.","24-Sep-2024","999700","30-Dec-2024"
"5506","Normal/Others","WS/MP171/2024-2025/142688-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30)","Sitting Rajya Sabha","Laying of CC Road from Nallavelli Narsimha (H) to Jakkali Ganesh (H) in Lachammagudem(V) of Narayanapur(M), Yadadri Bhuvanagiri District.","23-Sep-2024","498000","10-Dec-2024"
"5507","Normal/Others","WS/MP171/2024-2025/142689-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30)","Sitting Rajya Sabha","Laying of CC Road from Main Road to Yerramadha Sujatha (H) to Nakirekanti Anjaiah(H) to G.Sharanappa(H) in Lachammagudem(V) of Narayanapur(M), Yadadri Bhuvanagiri District.","23-Sep-2024","498000","10-Dec-2024"
"5508","Normal/Others","WS/MP171/2024-2025/142690-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30)","Sitting Rajya Sabha","Laying of CC Road from Nakirekanti Maramma (H) to Pilli Lachaiah (H),  Kosanam Pichama(H) to Varikuppala Yadaiah(H) in Lachammagudem(V) of Narayanapur(M), Yadadri Bhuvanagiri District.","23-Sep-2024","498000","10-Dec-2024"
"5509","Normal/Others","WS/MP171/2024-2025/142691-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30)","Sitting Rajya Sabha","Laying of CC Road from Aluguvelli Sathireddy (H) to Soma Raju (H), Dasari Yadaiah(H) to Gude Lingaiah(H) in Lachammagudem(V) of Narayanapur(M), Yadadri Bhuvanagiri District.","23-Sep-2024","498000","10-Dec-2024"
"5510","Normal/Others","WS/MP846/2024-2025/142696-Development of public parks","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28)","Sitting Rajya Sabha","Balance works of providing Multi Level Car parking Near Venkateshwara Temple in Ambaripet (v) Jagtial urban Mandal in Jagtial Dist","23-Sep-2024","4557003","18-Oct-2024"
"5511","Normal/Others","WS/MP846/2024-2025/142701-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28)","Sitting Rajya Sabha","Balance work of C/o Roofing Shed of Padmanayaka Community Hall at  Rangapur (v) Medipally (mp) in Jagtial Dist.","23-Sep-2024","748822","27-Sep-2024"
"5512","Normal/Others","WS/MP846/2024-2025/142702-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28)","Sitting Rajya Sabha","B/w Padmanayaka Community Hall at  Rangapur (v) Medipally (mp) in Jagtial Dist.","23-Sep-2024","746731","27-Sep-2024"
"5513","Normal/Others","WS/MP162/2025-2026/142704-Construction of community centers and community halls","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Construction of Marriage hall for Adi Dravidar Colony in Orangur Panchayat, Cuddalore District","24-Sep-2024","5000000","24-Jun-2025"
"5514","Normal/Others","WS/MP846/2024-2025/142705-Construction of community centers and community halls","Telangana","SANGAREDDY(District Collector Sangareddy_IDA)","Shri Damodar Rao Divakonda (2022-28)","Sitting Rajya Sabha","Construction of Community Hall in BC Colony in Naguldevpalli Village of Hatnura mandal of Sangareddy Dist.","23-Sep-2024","2500000","23-Oct-2024"
"5515","Normal/Others","WS/MP18334/2024-2025/142710-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Meda Raghunadha Reddy (2024-30)","Sitting Rajya Sabha","Providing of CC Road from D.No. 43/176-1 to 43/180-2 (Shivalayam Temple) at Prakash Nagar 14th Division of KMC","23-Sep-2024","2497334","25-Oct-2024"
"5516","Normal/Others","WS/MP18334/2024-2025/142711-Installing tube-wells and borewells","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Meda Raghunadha Reddy (2024-30)","Sitting Rajya Sabha","Providing new Bore, SP Set to Ibrahimpeta H/o Gangaperuru GP of Votimitta Mandal","23-Sep-2024","500000","15-Oct-2024"
"5517","Normal/Others","WS/MP18292/2025-2026/142719-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Maharashtra","LATUR(DISTRICT COLLECTOR LATUR_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30)","Sitting Rajya Sabha","Latur City Ward No. 1 Siddheshwar  Crematorium development","23-Sep-2024","999903","18-Aug-2025"
"5518","Normal/Others","WS/MP18292/2024-2025/142720-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","LATUR(DISTRICT COLLECTOR LATUR_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30)","Sitting Rajya Sabha","Latur City Ward No. 11 Deepjyoti Nagar - Making pavour block road from the House of Shri Patil to House of Shri Anil Goyekar.","23-Sep-2024","999437","07-Mar-2025"
"5519","Normal/Others","WS/MP18290/2024-2025/142742-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","Shri Chandrakant Damodar Handore (2024-30)","Sitting Rajya Sabha","Construction of internal roads in concreate and Ladikaran with drainage.","23-Sep-2024","8000000","19-Mar-2025"
"5520","Normal/Others","WS/MP18290/2024-2025/142743-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","Shri Chandrakant Damodar Handore (2024-30)","Sitting Rajya Sabha","Construction of internal roads in concrete and Ladikaran with drainage sysyem","23-Sep-2024","7000000","19-Mar-2025"
"5521","Normal/Others","WS/MP18304/2024-2025/142744-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Shri Harsh Mahajan (2024-30)","Sitting Rajya Sabha","construction work of the Road","23-Sep-2024","300000","26-Nov-2024"
"5522","Normal/Others","WS/MP18304/2024-2025/142745-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Shri Harsh Mahajan (2024-30)","Sitting Rajya Sabha","construction work of the Road","23-Sep-2024","300000","23-Nov-2024"
"5523","Normal/Others","WS/MP18304/2024-2025/142748-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Shri Harsh Mahajan (2024-30)","Sitting Rajya Sabha","construction work of the Road","23-Sep-2024","298791","03-Dec-2024"
"5524","Normal/Others","WS/MP196/2025-2026/142762-Purchase of books and periodicals for libraries/digitization of library books","Uttar Pradesh","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Shri Brij Lal (2020-26)","Sitting Rajya Sabha","List as per attached.","23-Sep-2024","5000000","15-Apr-2025"
"5525","Normal/Others","WS/MP18292/2025-2026/142766-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30)","Sitting Rajya Sabha","Karkin Tq. Paithan Dist. Chatrapati Sambhajinagar Ward No. 3 Making of CC Road from Navale Vasti to cremation on the Lakhegaon road.","23-Sep-2024","1000000","21-Aug-2025"
"5526","Normal/Others","WS/MP842/2024-2025/142770-Construction of buildings for crèches and anganwadies","Kerala","PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA)","Smt. P. T. Usha (2022-28)","Nominated Rajya Sabha","Construction of Anganvadi Building and side protection wall in Kallooppara Grama Panchayat, ward 9 (Anganvadi No.23)","23-Sep-2024","2100000","11-Nov-2024"
"5527","Normal/Others","WS/MP842/2024-2025/142775-Development of playground","Kerala","PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA)","Smt. P. T. Usha (2022-28)","Nominated Rajya Sabha","Construction of playground at Kaviyoor Grama Panchayath Ward-13, Pathanamthitta (General)","23-Sep-2024","1997018","11-Nov-2024"
"5528","Normal/Others","WS/MP842/2024-2025/142778-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA)","Smt. P. T. Usha (2022-28)","Nominated Rajya Sabha","Construction of Indanad Chuzhana Colony Road in Ezhumattoor Grama Panchayath, Koyipuram Block Panchayat, Pathanamthitta District (SC)","23-Sep-2024","798708","11-Nov-2024"
"5529","Normal/Others","WS/MP103/2024-2025/142784-Providing drains and gutters for public drainage","Madhya Pradesh","DHAR(DISTRICT COLLECTOR DHAR_IDA)","Dr. Kavita Patidar (2022-28)","Sitting Rajya Sabha","Construction of gutters  from Nayapura to Kodiyar Dham in Gram Tilgara JP Badnawar District Dhar","23-Sep-2024","400000","13-Nov-2024"
